GoogleMapsAddress,TimeCrawled,PostalCode,Latitude,Longitude,StreetNumber,StreetAddress,Neighborhood,Borough,County,State,PostalSuffix,CurrentOverallRanking,PlaceID,OutageCustomers,Problem,CrewStatus,Cause,UniqueID,DateCrawled,TimeStampCrawled,DateFixed
1 LANCIA LA,03:33:53,10007,40.713027600000000,-74.003752900000000,1,Centre Street,NULL,Manhattan,New York County,New York,1602,34,ChIJ67d2MiJawokRfo-C3-daU84,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,F7C28670-2168-11EB-AADC-000D3A9ABAE4,2020-11-08 00:00:00.000,1604806441.000000000000000,2020-11-09 00:41:32.750
1 MARSALA CT,15:42:16,10567,41.285331500000000,-73.879142400000000,1,Marsala Court,NULL,NULL,Westchester County,New York,5132,NULL,ChIJL_fBkVHIwokRdwXVzeUScBA,17,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,411A40BC-1546-11EB-A427-000D3A9ABAE4,2020-10-23 00:00:00.000,1603467736.000000000000000,2020-10-25 00:23:01.437
1 OVERLOOK DR,16:51:34,10304,40.608284800000008,-74.094613799999984,1,Overlook Drive,Todt Hill,Staten Island,Richmond County,New York,1512,87,EisxIE92ZXJsb29rIERyLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwNCwgVVNBIhoSGAoUChIJuaPvAfROwokRyj7P-g_NOR0QAQ,1," No Lights"," Crews will be dispatched soon. We'll provide additional information once it's available."," We'll provide details when we complete the investigation."," 4f0b24c4-34be-11eb-b6a0-000d3a8a7223",2020-12-02 16:51:34.000,1606927894.000000000000000,2020-12-04 05:48:20.013
1 PINECREST DR,14:55:24,12309,42.778782900000000,-73.841286099999984,1,Pinecrest Drive,NULL,NULL,Schenectady County,New York,1641,NULL,ChIJUyI810wN3okRR00BT3EjK3k,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,366017BE-1DE3-11EB-A427-000D3A9ABAE4,2020-11-03 00:00:00.000,1604415564.000000000000000,2020-11-03 15:19:52.137
1 READING AV,10:19:08,10312,40.555758000000000,-74.168926000000000,1,Reading Avenue,Arden Heights,Staten Island,Richmond County,New York,2020,26,ChIJ2ZzRpadLwokR7XWSaRnUj-o,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,02BE5FF0-2D75-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606126881.000000000000000,2020-11-23 11:37:28.887
1 WAGON WHEEL RD,11:20:17,12601,41.767088700000000,-73.877392800000000,1,Wagon Wheel Road,NULL,NULL,Dutchess County,New York,6227,NULL,Ei0xIFdhZ29uIFdoZWVsIFJkLCBQb3VnaGtlZXBzaWUsIE5ZIDEyNjAxLCBVU0EiGhIYChQKEglD3MAp5RTdiRGPzm2g0YmzIhAB,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,2CD75D66-2D7D-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606130774.000000000000000,2020-11-23 11:37:28.913
1 WARTBURG PL,20:42:48,10552,40.920094600000000,-73.814855800000000,1,Station Place,North Side,NULL,Westchester County,New York,NULL,NULL,ChIJq6qqql6NwokRjwYPSCMGpe0,1,Area Outage,Crews have arrived and are making repairs. Power will be restored as soon as possible.,Weather-Related,2BAEB460-281A-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605559414.000000000000000,2020-11-16 21:04:47.433
1 WELLHOUSE CLOSE,13:10:11,10543,40.970040399999984,-73.751440100000000,1,Wellhouse Close,NULL,NULL,Westchester County,New York,1030,NULL,ChIJDZmisNmTwokRbvPnWu8k9OU,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,8ACD43AA-2D8B-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606137223.000000000000000,2020-11-23 13:32:39.063
10 78 ST,15:14:04,10075,40.775793900000000,-73.963655100000000,10,East 78th Street,NULL,Manhattan,New York County,New York,NULL,24,ChIJ129gP5RYwokRJll_OXYpiZU,1,Wires Down,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,4C87D9BC-1DE5-11EB-A427-000D3A9ABAE4,2020-11-03 00:00:00.000,1604419257.000000000000000,2020-11-03 18:22:43.100
10 AMANDA CT,00:49:21,10312,40.564350300000000,-74.185328500000000,10,Amanda Court,Arden Heights,Staten Island,Richmond County,New York,6651,39,EioxMCBBbWFuZGEgQ3QsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzEyLCBVU0EiGhIYChQKEgktACHkEkvCiREwTXWsInTnSRAK,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,F62DADB4-2549-11EB-9EF0-000D3A9D4EC8,2020-11-13 00:00:00.000,1605228562.000000000000000,2020-11-13 06:25:27.470
10 ASHINGTON DR,20:02:26,10562,41.206116500000000,-73.803077800000000,10,Ashington Drive,NULL,NULL,Westchester County,New York,1438,NULL,ChIJaUGq0Va4wokRzz4J24oUr2A,1,Service Wires Down,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,CE07ACEA-2DB9-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606183967.000000000000000,2020-11-24 02:42:01.303
10 BEDFORD PL,02:55:42,11216,40.679855000000000,-73.954496400000000,10,Bedford Place,Bedford-Stuyvesant,Brooklyn,Kings County,New York,NULL,71,EiYxMCBCZWRmb3JkIFBsLCBCcm9va2x5biwgTlkgMTEyMTYsIFVTQSIaEhgKFAoSCYsGFYOZW8KJEfblHVkLcwGhEAo,16,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,B80EE994-0CFD-11EB-A9BA-000D3A9ABAE4,2020-10-13 00:00:00.000,1602557813.000000000000000,2020-10-25 00:23:01.437
10 BEVERLY RD,16:50:29,10305,40.598557900000000,-74.073923900000000,10,Beverly Road,Concord,Staten Island,Richmond County,New York,2635,10,EisxMCBCZXZlcmx5IFJkLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwNSwgVVNBIhoSGAoUChIJ2cilJR1PwokR6yuNGTge5TkQCg,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,5B7038F0-3A3E-11EB-B6A0-000D3A8A7223,2020-12-09 00:00:00.000,1607532630.000000000000000,2020-12-09 19:13:06.753
10 BROOKDALE LA,19:07:50,10282,40.717566400000000,-74.014463400000000,455,North End Avenue,NULL,Manhattan,New York County,New York,NULL,7,ChIJ5XRITRxawokR1ckWWv4b2Sw,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,D28E214C-3334-11EB-9EF0-000D3A9D4EC8,2020-11-30 00:00:00.000,1606763271.000000000000000,2020-11-30 19:37:29.880
10 CLARA CT,17:07:00,7081,40.707732600000000,-74.326735100000000,NULL,Clara Court,NULL,NULL,Union County,New Jersey,NULL,NULL,ChIJk7mYTWyuw4kRQrlaS9wUC78,1,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,A00E2C0E-1A06-11EB-A427-000D3A9ABAE4,2020-10-29 00:00:00.000,1603991222.000000000000000,2020-10-29 17:19:12.613
10 CRESTON ST,17:31:58,10309,40.518962100000000,-74.207847500000000,10,Creston Street,Prince's Bay,Staten Island,Richmond County,New York,3532,19,ChIJV0ux3a9KwokRe58VTrobfp4,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,4C87D9BC-1DE5-11EB-A427-000D3A9ABAE4,2020-11-03 00:00:00.000,1604426612.000000000000000,2020-11-03 18:22:43.110
10 DON LA,08:26:01,10007,40.713027600000000,-74.003752900000000,1,Centre Street,NULL,Manhattan,New York County,New York,1602,7,ChIJ67d2MiJawokRfo-C3-daU84,18,Wires Down,Crews will be dispatched soon. We'll provide additional information once it's available.,Weather-Related,0638501A-27A7-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605515485.000000000000000,2020-11-16 09:06:21.387
10 FIELDSTONE DR,21:08:17,10314,40.613805200000000,-74.168702799999984,10,Fieldstone Road,Bulls Head,Staten Island,Richmond County,New York,NULL,9,Ei4xMCBGaWVsZHN0b25lIFJkLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMxNCwgVVNBIhoSGAoUChIJs1sZm1dMwokRBJnfG2gTIVcQCg,18,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,506A391A-3674-11EB-B6A0-000D3A8A7223,2020-12-04 00:00:00.000,1607116098.000000000000000,2020-12-04 23:33:43.823
10 FRANCESCA LA,02:02:53,10303,40.624657300000000,-74.160271299999984,10,Francesca Lane,Mid Island,Staten Island,Richmond County,New York,2101,24,ChIJlzdunq1NwokR8sIpq-hI7T0,31,Area Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,EF232254-2C5D-11EB-9EF0-000D3A9D4EC8,2020-11-22 00:00:00.000,1606010614.000000000000000,2020-11-22 02:56:38.440
10 HEWLETT AV,18:52:19,11566,40.661974099999984,-73.549127900000000,10,Hewlett Avenue,NULL,NULL,Nassau County,New York,NULL,NULL,EiYxMCBIZXdsZXR0IEF2ZSwgTWVycmljaywgTlkgMTE1NjYsIFVTQSIaEhgKFAoSCVU_iemvfsKJERDSj9m-tUn3EAo,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,D28E214C-3334-11EB-9EF0-000D3A9D4EC8,2020-11-30 00:00:00.000,1606762583.000000000000000,2020-11-30 19:16:54.283
10 HILLCREST AV,22:40:06,10308,40.546562100000000,-74.152368300000000,10,Hillcrest Avenue,Great Kills,Staten Island,Richmond County,New York,NULL,26,Ei4xMCBIaWxsY3Jlc3QgQXZlLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwOCwgVVNBIhoSGAoUChIJGWxwobZLwokRxsEciH6ST-QQCg,13,Area Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,967C69B2-3293-11EB-9EF0-000D3A9D4EC8,2020-11-29 00:00:00.000,1606689795.000000000000000,2020-11-29 23:11:27.697
10 HOMEWOOD AV,16:33:01,10701,40.942083100000000,-73.861777199999984,10,Homewood Avenue,Dunwoodie,NULL,Westchester County,New York,5227,NULL,ChIJuWGkUFztwokR05PWadTeb0s,1,Partial Outage,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7F0D7628-275C-11EB-9EF0-000D3A9D4EC8,2020-11-15 00:00:00.000,1605458041.000000000000000,2020-11-15 22:01:13.443
10 INVERNESS CT,11:02:11,10605,41.005486500000000,-73.727604600000000,10,Inverness Court,NULL,NULL,Westchester County,New York,5113,NULL,ChIJUZoayrmWwokRtNNMBxqXpLc,5,Area Outage,Crews will be dispatched soon. We'll provide additional information once it's available.,Weather-Related,0638501A-27A7-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605524865.000000000000000,2020-11-16 11:21:44.477
10 MANOR CT,05:33:16,10306,40.575549400000000,-74.140943999999984,10,Manor Court,Lighthouse Hill,Staten Island,Richmond County,New York,1230,9,ChIJhf4ko_ZLwokR8D0q_wjjBdE,20,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7800DB56-338A-11EB-9EF0-000D3A9D4EC8,2020-12-01 00:00:00.000,1606801581.000000000000000,2020-12-01 06:08:54.350
10 MARBOURNE DR,11:05:43,10543,40.974912000000000,-73.748033000000000,10,Marbourne Drive,NULL,NULL,Westchester County,New York,1041,NULL,ChIJEb44fN-TwokRyXJcQBQ20z4,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,4DCD3A74-2D7B-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606129809.000000000000000,2020-11-23 11:26:58.313
10 MIDDLE PATENT RD,15:50:54,10504,41.161139800000000,-73.668176100000000,10,Middle Patent Road,NULL,NULL,Westchester County,New York,2802,NULL,ChIJ13pVoEe7wokRLhGVKekQ25w,9,Area Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,6CC96560-2DA3-11EB-9EF0-000D3A9D4EC8,2020-11-23 00:00:00.000,1606147148.000000000000000,2020-11-23 16:19:06.833
10 N BROADWAY,05:58:33,10601,41.034907800000000,-73.762816700000000,10,North Broadway,NULL,NULL,Westchester County,New York,2219,NULL,ChIJQdK8zjOUwokRQQk8pX1TcnI,3,Building Outage,Crews will be dispatched soon. We'll provide additional information once it's available.,Weather-Related,0638501A-27A7-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605506374.000000000000000,2020-11-16 11:21:44.483
10 NEVINS ST,19:55:02,11217,40.688535300000000,-73.981363199999984,10,Nevins Street,Downtown Brooklyn,Brooklyn,Kings County,New York,NULL,8,ChIJBzQeGbNbwokRSyGNTFhNS9c,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,BE50491C-2132-11EB-AADC-000D3A9ABAE4,2020-11-07 00:00:00.000,1604779233.000000000000000,2020-11-08 00:59:57.330
10 PARK AV,20:09:44,10016,40.747719500000000,-73.981308300000000,10,Park Avenue,NULL,Manhattan,New York County,New York,4338,159,ChIJfUinCgdZwokRs8Jpwaa4tmQ,1," No Lights"," An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available."," We'll provide details when we complete the investigation."," 66caea38-35a2-11eb-b6a0-000d3a8a7223",2020-12-03 20:09:44.000,1607026184.000000000000000,2020-12-04 05:48:20.040
10 PHEASANT DR,09:43:27,10309,40.532154500000000,-74.222390699999984,10,Pheasant Lane,Charleston,Staten Island,Richmond County,New York,1970,17,EiwxMCBQaGVhc2FudCBMbiwgU3RhdGVuIElzbGFuZCwgTlkgMTAzMDksIFVTQSIaEhgKFAoSCRPYh5Q1tcOJEawIUsdpKP79EAo,24,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,86DD62A6-2FCB-11EB-9EF0-000D3A9D4EC8,2020-11-26 00:00:00.000,1606383808.000000000000000,2020-11-26 11:04:39.930
10 RIVERPOINTE RD,00:22:18,10706,40.977602000000000,-73.885672000000000,10,Riverpointe Road,NULL,NULL,Westchester County,New York,3812,NULL,ChIJNdwb1AHtwokRFmsqSpYnAds,16,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,Equipment Problem,C85E8242-23B3-11EB-9EF0-000D3A9D4EC8,2020-11-11 00:00:00.000,1605054139.000000000000000,2020-11-11 22:22:03.920
10 W 135 ST,05:17:15,10037,40.812762000000000,-73.938582099999984,10,West 135th Street,NULL,Manhattan,New York County,New York,NULL,48,ChIJYXYk03X2wokRN1VEbv25BzU,1," No Lights"," Crews will be dispatched soon. We'll provide additional information once it's available."," We'll provide details when we complete the investigation."," 8938e778-345d-11eb-b6a0-000d3a8a7223",2020-12-02 05:17:15.000,1606886235.000000000000000,2020-12-04 05:48:20.060
10 WOODS WAY,19:42:47,10538,40.925562500000000,-73.763391300000000,10,Woods Way,NULL,NULL,Westchester County,New York,2615,NULL,ChIJa14hMgmSwokRGJ75V1NVkes,1,Burning Wires,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,2BAEB460-281A-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605556357.000000000000000,2020-11-16 20:23:35.760
100 COVERT ST,22:01:59,11207,40.687717200000000,-73.910653200000000,100,Covert Street,Bushwick,Brooklyn,Kings County,New York,1156,2,ChIJnY6Ksz9cwokRMBZb80tSaqk,1,Building Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7895E60E-2144-11EB-AADC-000D3A9ABAE4,2020-11-07 00:00:00.000,1604787007.000000000000000,2020-11-07 22:35:45.517
1000 NEILL AV,14:21:33,10462,40.851830000000000,-73.859057000000000,1000,Neill Avenue,Morris Park,The Bronx,Bronx County,New York,3168,4,ChIJxXMxsab0wokRjZrQMAUhlxk,2,Service Wires Down,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,32D45050-3897-11EB-B6A0-000D3A8A7223,2020-12-07 00:00:00.000,1607350894.000000000000000,2020-12-07 15:54:29.840
10001 217 LA,16:59:17,10001,40.748440500000000,-73.985664399999984,20,West 34th Street,NULL,Manhattan,New York County,New York,NULL,15,ChIJaXQRs6lZwokRY6EFpJnhNNE,26,Burning Wires,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1B25FD86-2F3D-11EB-9EF0-000D3A9D4EC8,2020-11-25 00:00:00.000,1606323559.000000000000000,2020-11-25 17:15:26.057
10001 ASCAN AV,21:00:56,11375,40.711291000000000,-73.845459900000000,100-01,Ascan Avenue,Flushing,Queens,Queens County,New York,6811,11,ChIJ-dCuhR5ewokRE9ESbs2Qpmk,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,A15CE556-2AA9-11EB-9EF0-000D3A9D4EC8,2020-11-19 00:00:00.000,1605820014.000000000000000,2020-11-19 21:30:51.707
10007 217 LA,16:59:17,10007,40.711644199999984,-74.008775000000000,NULL,Vesey Street,NULL,Manhattan,New York County,New York,NULL,22,ChIJJyUnVRhawokRr3YCjzxUE74,26,Burning Wires,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1B25FD86-2F3D-11EB-9EF0-000D3A9D4EC8,2020-11-25 00:00:00.000,1606323559.000000000000000,2020-11-25 17:15:26.077
10008 217 LA,16:59:17,10007,40.711644199999984,-74.008775000000000,NULL,Vesey Street,NULL,Manhattan,New York County,New York,NULL,22,ChIJJyUnVRhawokRr3YCjzxUE74,26,Burning Wires,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1B25FD86-2F3D-11EB-9EF0-000D3A9D4EC8,2020-11-25 00:00:00.000,1606323559.000000000000000,2020-11-25 17:15:26.083
10011 197 ST,22:59:17,11423,40.709562600000000,-73.761672500000000,100-11,197th Street,Jamaica,Queens,Queens County,New York,3310,105,ChIJzQigPG9hwokRROF46M1q0r0,1," Burning Wires"," An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available."," We'll provide details when we complete the investigation."," c7846a82-34f0-11eb-b6a0-000d3a8a7223",2020-12-02 22:59:17.000,1606949957.000000000000000,2020-12-04 05:48:20.093
10019 40 RD,23:50:09,11368,40.749057000000000,-73.864320000000000,100-19,40th Road,Flushing,Queens,Queens County,New York,4808,6,ChIJ8Qv168dfwokRr6UHLdjOSWQ,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,0EB27D6C-279B-11EB-9EF0-000D3A9D4EC8,2020-11-15 00:00:00.000,1605484344.000000000000000,2020-11-16 00:06:04.960
1002 NEILL AV,13:49:05,10462,40.851864000000000,-73.858978999999984,1002,Neill Avenue,Morris Park,The Bronx,Bronx County,New York,3168,3,ChIJnUQpt6b0wokRinKWVxoA7I8,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,D95E3A7A-395B-11EB-B6A0-000D3A8A7223,2020-12-08 00:00:00.000,1607435345.000000000000000,2020-12-08 14:44:55.353
1002 NEILL AV,14:21:54,10462,40.851864000000000,-73.858978999999984,1002,Neill Avenue,Morris Park,The Bronx,Bronx County,New York,3168,4,ChIJnUQpt6b0wokRinKWVxoA7I8,2,Service Wires Down,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,32D45050-3897-11EB-B6A0-000D3A8A7223,2020-12-07 00:00:00.000,1607350915.000000000000000,2020-12-07 15:54:29.847
10037 196 ST,03:41:35,11423,40.708680000000000,-73.762292000000000,100-37,196th Street,Jamaica,Queens,Queens County,New York,3308,10,ChIJjeXZ1GhhwokRn4TiYfRzvtc,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,6A7D706E-2AE0-11EB-9EF0-000D3A9D4EC8,2020-11-20 00:00:00.000,1605844379.000000000000000,2020-11-20 04:08:30.583
1004 ESPLANADE AV,06:21:09,10461,40.854529199999984,-73.859856900000000,1004,Esplanade,Morris Park,The Bronx,Bronx County,New York,1204,7,ChIJO_fctqD0wokR2j5xxVrgPJ0,1,Service Wires Down,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,Weather-Related,0638501A-27A7-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605507671.000000000000000,2020-11-16 06:41:19.700
10045 202 ST,10:41:38,11423,40.709782000000000,-73.756863000000000,100-45,202nd Street,Jamaica,Queens,Queens County,New York,3420,11,ChIJp4B2smVhwokRqZyFxB3K32o,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,47401796-2B1C-11EB-9EF0-000D3A9D4EC8,2020-11-20 00:00:00.000,1605868915.000000000000000,2020-11-20 13:24:08.180
1005 CLARKSON AV,17:20:54,11212,40.658479500000000,-73.924696200000000,1005,Clarkson Avenue,East Flatbush,Brooklyn,Kings County,New York,1414,2,ChIJ_YWrUIVcwokRuNrSB8PU_V8,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,28E7A888-3A42-11EB-B6A0-000D3A8A7223,2020-12-09 00:00:00.000,1607534455.000000000000000,2020-12-09 18:42:36.033
1006 ESPLANADE AV,06:21:09,10461,40.854515900000000,-73.859746000000000,1006,Esplanade,Morris Park,The Bronx,Bronx County,New York,1204,7,ChIJy9umy6D0wokRo3Pq5IZAn08,1,Service Wires Down,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,Weather-Related,0638501A-27A7-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605507671.000000000000000,2020-11-16 06:41:19.707
